,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,anomaly,anomaly_score
1,0.03333333333333333,0.0,0.25862068965517243,0.20328416161633223,1,-0.5057260463978169
2,0.2,0.6666666666666666,0.3448275862068966,0.5611542856801309,-1,-0.7252991984486475
3,0.03333333333333333,0.0,0.25862068965517243,0.20328416161633223,1,-0.5057260463978169
4,0.03333333333333333,0.0,0.25862068965517243,0.20328416161633223,1,-0.5057260463978169
5,0.13333333333333333,0.6873563218390805,0.3488372093023256,0.4176769325199674,-1,-0.6939945340811922
6,0.06666666666666667,0.28735632183908044,0.2830188679245283,0.2808663246412634,1,-0.5286390505902564
7,0.06666666666666667,0.23908045977011494,0.2777777777777778,0.24063775502850016,1,-0.478377056643112
8,0.06666666666666667,0.18620689655172412,0.27522935779816515,0.1840609116029451,1,-0.471810310304284
9,0.1,0.13103448275862067,0.22388059701492538,0.09040848836997134,1,-0.47703330035076674
10,0.03333333333333333,0.0,0.18404907975460122,0.03275187688236656,1,-0.41797515857622936
11,0.03333333333333333,0.0,0.18404907975460122,0.03275187688236656,1,-0.41797515857622936
12,0.06666666666666667,0.28735632183908044,0.2857142857142857,0.1817528551795577,1,-0.4862973051582347
13,0.06666666666666667,0.23908045977011494,0.23809523809523808,0.08403579121854933,1,-0.4815397095408997
14,0.13333333333333333,0.19310344827586207,0.20134228187919462,0.05021732012941828,1,-0.565862051236274
15,0.03333333333333333,0.0,0.16853932584269662,0.018192981757663006,1,-0.4290359548739568
16,0.03333333333333333,0.0,0.16853932584269662,0.018192981757663006,1,-0.4290359548739568
17,0.03333333333333333,0.0,0.16853932584269662,0.018192981757663006,1,-0.4290359548739568
18,0.1,0.24137931034482757,0.2803738317757009,0.22599798376600794,1,-0.49658079221625573
19,0.06666666666666667,0.06206896551724138,0.22556390977443608,0.10308528896898234,1,-0.42973805588736885
20,0.06666666666666667,0.0022988505747126436,0.18867924528301888,0.058558481432635236,1,-0.4373260482049312
21,0.06666666666666667,0.0022988505747126436,0.18867924528301888,0.058558481432635236,1,-0.4373260482049312
22,0.06666666666666667,0.06206896551724138,0.22556390977443608,0.10308528896898234,1,-0.42973805588736885
23,0.16666666666666666,0.25287356321839083,0.23622047244094488,0.21416420814385184,-1,-0.5963228580598563
24,0.03333333333333333,0.0,0.19230769230769232,0.07758216302493116,1,-0.4117955950989564
25,0.03333333333333333,0.0,0.19230769230769232,0.07758216302493116,1,-0.4117955950989564
26,0.03333333333333333,0.0,0.19230769230769232,0.07758216302493116,1,-0.4117955950989564
27,0.03333333333333333,0.0,0.19230769230769232,0.07758216302493116,1,-0.4117955950989564
28,0.06666666666666667,0.18620689655172412,0.22900763358778625,0.10311282250767058,1,-0.44154407135904616
29,0.06666666666666667,0.12873563218390804,0.19230769230769232,0.043999917108742514,1,-0.4604107517982601
30,0.06666666666666667,0.06666666666666667,0.16393442622950818,0.018346998905118907,1,-0.5052057464744215
31,0.03333333333333333,0.0,0.14150943396226415,0.006646323696574603,1,-0.5679643032732327
